brasseries	2	01 42 60 10 89	85 rue rivoli	1	la cooperative	3.5	chatelet les halles
francais	3	01 49 27 05 00	36 place marche st honore	1	le zinc d'honore	3.5	place vendome
chinois	2	01 40 15 01 85	36 rue de richelieu	1	hao long	4.5	palais royal musee du louvre
brasseries	4	01 44 58 37 21	####	1	la brasserie du louvre	3.5	palais royal musee du louvre
japonais	2	01 58 62 49 22	163 rue st honore	1	higuma	3.0	palais royal musee du louvre
espagnol	1	01 44 82 04 67	24 rue montorgueil	1	casa del campo	4.0	chatelet les halles
francais	4	01 40 20 00 27	110 galerie de valois	1	restaurant du palais royal	5.0	palais royal musee du louvre
francais  hot dog  creperies	1	06 72 00 27 43	jardins des tuileries	1	chez didine	3.5	1er
sushis	4	01 40 20 09 30	18 rue du louvre	1	sushi ginza onodera	4.5	chatelet les halles
alimentation  bistrot  bars	1	01 42 97 47 36	28 croix des petits champs	1	cafe des faussaires	4.0	palais royal musee du louvre
francais  fruits de mer	2	09 62 50 86 02	165 rue st honore	1	vin et maree	3.5	palais royal musee du louvre
japonais	4	01 42 96 26 60	45 rue de richelieu	1	izakaya isse	4.0	palais royal musee du louvre
americain traditionnel   petit dejeuner & brunch	2	01 40 15 03 27	39 rue de richelieu	1	h.a.n.d	3.5	palais royal musee du louvre
mexicain  cuisines de l'amerique latine  salles et espaces evenementiels	3	01 42 36 11 16	7 rue sauval	1	azteca	3.5	chatelet les halles
brasseries	2	01 40 26 49 19	41 bd sebastopol	1	cafe paris-halles	4.0	chatelet les halles
francais	4	01 44 58 43 40	202 rue de rivoli	1	le 202 rivoli	4.5	1er
japonais  chinois  cuisine fusion asiatique	3	01 42 61 05 90	19 rue saint roch	1	ebis	4.0	palais royal musee du louvre
petit dejeuner & brunch  bars a cocktails	2	01 42 60 06 45	7 rue des petits champs	1	kaitleen	4.5	palais royal musee du louvre
restaurants	2	01 42 96 40 02	9 rue argenteuil	1	chez yolaine	4.0	palais royal musee du louvre
salades  soupes  sandwichs	3	01 40 13 06 80	3 place du louvre	1	cojean	4.5	chatelet les halles
bistrot	2	01 42 60 47 66	20 rue des pyramides	1	bistrot pyramide	3.5	palais royal musee du louvre
japonais	2	01 42 96 01 99	40 rue petits champs	1	akita	4.0	palais royal musee du louvre
salades  boulangeries-patisseries  sandwichs	1	01 42 36 28 55	21 rue des halles	1	la parisienne	4.5	chatelet les halles
japonais	4	01 42 60 28 38	19 rue st roch	1	matsuda	4.5	palais royal musee du louvre
fruits de mer	3	01 40 26 68 75	58 rue jean jacques rousseau	1	fishclub	3.5	chatelet les halles
francais	2	01 42 36 74 24	16 rue coquilliere	1	la taverne karlsbrau	3.0	chatelet les halles
cuisine napolitaine	2	01 40 26 83 94	14 rue montmartre	1	presto fresco	3.5	chatelet les halles
pizza  italien	1	####	79 rue rambuteau	1	it pasta fresca	3.5	chatelet les halles
francais  bars a vins	3	01 42 97 49 91	1 rue perrault	1	le louvre ripaille	4.0	chatelet les halles
portugais	3	01 42 36 03 65	34 rue bourdonnais	1	restaurant saudade	4.0	chatelet les halles
salons de the  cuisine du sud-ouest	2	01 42 60 29 20	202 rue saint honore	1	le ragueneau	3.0	palais royal musee du louvre
brasseries	2	01 42 60 63 28	194 rue de rivoli	1	le carrousel	2.5	1er
chinois	2	01 40 20 99 60	8 rue mont thabor	1	le village de chine	4.5	place vendome
italien	3	01 40 26 83 68	47 rue saint-honore	1	tutti amici	4.5	chatelet les halles
francais	4	01 42 86 82 82	14 rue castiglione	1	carre des feuillants	4.0	place vendome
brasseries  francais	2	01 42 61 40 01	157 rue st honore	1	cafe de la comedie	3.0	palais royal musee du louvre
francais	3	01 45 08 50 44	5 rue lavandieres ste opportune	1	le terminus du chatelet	4.0	chatelet les halles
restaurants	3	01 42 61 48 36	26 rue danielle casanova	1	royal vendome le	4.5	place vendome
cafes  cafes et thes  bars	3	01 42 36 88 84	2 rue de l'amiral de coligny	1	le corona	2.0	1er
creperies  salades	2	01 40 26 43 54	24 rue du pont neuf	1	creperie saint-honore	3.0	chatelet les halles
francais  vegetarien	4	01 45 08 49 84	5 rue herold	1	lemoni cafe	4.0	bourse
francais	3	01 42 86 10 10	####	1	brasserie rejane	3.5	palais royal musee du louvre
thai	2	01 42 33 85 25	13 rue ferronnerie	1	baan thai restaurant	3.5	chatelet les halles
italien	3	01 77 37 37 87	19 bis rue du mont-thabor	1	da rosa rive droite	3.0	concorde madeleine
Epiceries fines  petit dejeuner & brunch  produits bio & naturels	2	06 67 85 45 62	41 rue saint-honore	1	le bio d'adam et eve	4.0	chatelet les halles
petit dejeuner & brunch  boulangeries-patisseries  cafes	3	01 40 13 04 04	22 rue montmartre	1	marcelle	4.0	chatelet les halles
francais  bars a vins	3	01 42 96 10 18	34 place du marche saint honore	1	l'ecluse	4.0	place vendome
francais  bistrot  brasseries	3	01 42 36 07 42	33 rue du pont neuf	1	au chien qui fume	3.5	chatelet les halles
italien	2	01 44 82 55 23	31 rue coquillere	1	il fico	4.0	bourse
brasseries	3	01 44 77 10 40	234 rue de rivoli	1	le first	3.5	concorde madeleine
japonais	2	01 40 28 48 39	3 rue du roule	1	koshi	4.0	chatelet les halles
japonais	4	01 40 15 01 99	18 rue louvre	1	kai	4.0	chatelet les halles
francais	2	01 42 60 20 14	166 rue saint-honore	1	chez claude	3.5	palais royal musee du louvre
francais	2	01 42 33 98 17	18 quai du louvre	1	relais du pont neuf	3.5	chatelet les halles
chinois	3	01 40 26 09 36	10 rue grande truanderie	1	chez vong	4.0	chatelet les halles
brasseries	2	01 42 33 53 13	3 rue sainte-opportune	1	l'amazonial	3.5	chatelet les halles
francais  bars	2	01 42 61 09 69	2 rue de la paix	1	la colombe	4.5	place vendome
francais  bars	2	01 42 61 02 45	8 rue marche st honore	1	au bistro	3.5	place vendome
cuisine europeenne moderne  burger  francais	2	01 40 28 99 99	8 rue coquillere	1	bliss	3.5	chatelet les halles
